length_um,cell_range,excess_loss_db,insertion_loss_upper_db,insertion_loss_lower_db,power_imbalance_db,phase_error_deg,return_loss_db,forward_power,reflected_power,even_amplitude_abs,odd_amplitude_abs,even_power,odd_power,even_phase_deg,odd_phase_deg,supermode_phase_difference_deg
1.5,0,3.328731593012363,7.186496503445695,5.630244018832197,-1.5562524846134973,75.63879423284797,28.99569198227873,0.46465096206529344,0.001260174832182296,0.6736662918290072,0.10404176718341794,0.45382627274664505,0.010824689318648542,-48.28738831929276,77.70098140183008,125.98836972112282
1.625,0,3.3278239011773643,7.182444227186143,5.631535225530126,-1.5509090016560174,75.68022685552948,29.0129063493849,0.46474808601683804,0.001255189694966854,0.6737849969112094,0.10373940405747362,0.4539862220626385,0.010761863954199773,1.2725982312488817,127.24333196887079,125.97073373762193
1.75,0,3.326475558287777,7.17869396798625,5.631868283014795,-1.5468256849714557,75.72525874075626,29.029034246778856,0.46489239755866785,0.001250537084855097,0.6739361927172911,0.10345243208542788,0.4541899918542777,0.010702405704390069,50.83067912219743,176.81284845240077,125.98216933020336
1.875,0,3.324712988364411,7.175334443669152,5.631224495768402,-1.5441099479007505,75.77277844764257,29.044075962849423,0.46508111090656323,0.0012462133626627162,0.6741166888026244,0.10318818141797434,0.4544333101222144,0.010647800784348785,100.38656307305962,-133.590678178407,126.02275874853343
2.0,0,3.322567372022289,7.1724453667619485,5.6295999663443546,-1.5428454004175944,75.82156987105951,29.0580410965672,0.4653109393329137,0.0012422124863871909,0.6743229300344097,0.10295399634167897,0.4547114139701914,0.010599525362722446,149.93999564383284,-83.96808400613685,126.0919203500303
2.125,0,3.320074193335702,7.170095847389829,5.627006085904572,-1.5430897614852563,75.87033512205257,29.07094679529213,0.46557813968248607,0.0012385265488059592,0.6745510528361711,0.10275707664243502,0.45501912288238694,0.010559016800099266,-160.50923752073737,-34.32085186794325,126.18838565279411
2.25,0,3.3172727315778285,7.168343017375133,5.623469729898643,-1.5448732874764906,75.91771906158847,29.08281608111135,0.4658785625923766,0.00123514627197984,0.6747969452857233,0.10260431387340903,0.45535091736694344,0.010527645225433037,-110.96130812137748,15.348885702730188,126.31019382410767
2.375,0,3.3142055064114775,7.167230893134424,5.619033151057132,-1.5481977420772919,75.96233497058053,29.0936763748833,0.4662077077307377,0.0012320614312085999,0.6750563100557521,0.10250212673232748,0.4557010217460877,0.010506685984650124,-61.41634333354347,65.03836261525623,126.45470594879971
2.5,0,3.3109176856029605,7.166789490837175,5.613753569929239,-1.5530359209079365,76.00279083074565,29.103558309245088,0.4665607833091402,0.0012292611863207379,0.6753247291675667,0.1024563003621195,0.4560634898252473,0.010497293483892849,-11.874424646370509,114.74421603264068,126.61864067901118
2.625,0,3.3074564646156484,7.167034203495945,5.6077024712001275,-1.559331732295817,76.03771569527962,29.112494896939385,0.4669327690744036,0.0012267343051081008,0.6755977295300291,0.10247183480485478,0.4564322921461303,0.010500476928273448,37.664412591242986,164.4625444374436,126.7981318462006
2.75,0,3.303870427523198,7.167965446172854,5.600964621627751,-1.567000824545102,76.06578564428081,29.120521090713062,0.46731848194770553,0.0012244692718061335,0.67587084825565,0.10255280798639128,0.4568014035218119,0.01051707842589364,87.2001789322164,-145.8110136908219,126.98880737696172
2.875,0,3.3002088985790485,7.169568572244919,5.593636832322333,-1.575931739922586,76.08574884562248,29.1276737379157,0.4677126434520758,0.0012224542822440846,0.6761396967826613,0.10270225843050748,0.4571648895653491,0.010547753886726746,136.73292992630627,-96.08118257611218,127.18588749758158
3.0,0,3.2965212935090893,7.171814060578762,5.585826493986503,-1.5859875665922591,76.09644927563804,29.13399189921186,0.4681099480540777,0.0012206771360576537,0.6764000228833857,0.1029220923681263,0.4575169909566448,0.010592957097433122,-173.73723541605796,-46.352936543654344,127.38429887240362
3.125,0,3.292856479182465,7.174657970418226,5.577649918439049,-1.5970080519791767,76.09684869354604,29.139517469026295,0.4685051315415011,0.001219125044559193,0.6766477697032495,0.10321301902918827,0.4578522042443817,0.010652927297119578,-124.21017674767054,3.3686234004124302,127.57880014808298
3.25,0,3.2892621497876897,7.178042657676658,5.569230523139232,-1.6088121345374262,76.08604650704032,29.144296007883707,0.4688930385660549,0.0012177843799079922,0.6768791310489656,0.10357451673289228,0.45816535804960273,0.010727680516452183,-74.68571504612606,53.07839846628285,127.76411351240891
3.375,0,3.285784227025128,7.1818977430528,5.5606968974708595,-1.6212008455819409,76.06329721219804,29.1483776758323,0.469268688497968,0.0012166403965895138,0.6770906022265161,0.10400483101520668,0.4584516836234662,0.010817004874501697,-25.163635757956264,102.77142067549381,127.93505643345009
3.5,0,3.2824662911488884,7.18614131887718,5.552180790274943,-1.6339605286022374,76.02802513739366,29.151818143369546,0.46962733876768253,0.0012156769594731255,0.6772790258174244,0.10450100456686186,0.4587068788121994,0.010920459955483283,24.35630763354273,152.44297541437453,128.08666778083182
3.625,0,3.2793490489772714,7.190681377804208,5.543815057644429,-1.6468663201597789,75.97983626728812,29.1546793528547,0.46996454490777884,0.0012148763135845309,0.6774416318734154,0.1050589373278777,0.45892716459531613,0.011037380312462935,73.87438967808193,-157.9112872807656,128.21432304115245
3.75,0,3.276469844262721,7.195417442390015,5.535731608477415,-1.6596858339125997,75.91852696864112,29.157030009743824,0.47027621655534385,0.0012142189290718305,0.6775760721032027,0.10567347381693966,0.45910933348680455,0.011166883068539432,123.39090872841561,-108.29525701521663,128.31383425636778
3.875,0,3.2738622150900705,7.200242370288032,5.52805938292826,-1.6721829873597724,75.84408948459271,29.1589456988154,0.47055866873031293,0.0012136834507070124,0.6776804477192133,0.10633851376335708,0.4592507892209134,0.011307879509399684,172.90618247370588,-58.71228600596421,128.38153152032993
4.0,0,3.271555502270429,7.205044305350876,5.520922395922153,-1.6841219094287228,75.75671410844762,29.1605085448194,0.4708086677681233,0.0012132467748658337,0.6777533307053462,0.10704714141878365,0.45934957728219034,0.011459090485933065,-137.57945670108342,-9.165132482133737,128.41432421894967
